semana_iso,anio,producto,grupo,bloque,plantas,tallos_estimados,calidad_dato,origen
41,2026,Strawflower Copper Red,Strawflower,3B,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
42,2026,Cannes Lemon,Boca de Dragón,4A+3A,3304,1101,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,QIS Carmine,Gomphrena,5,1728,864,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,QIS Carmine,Gomphrena,5,1662,831,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Quis Pink,Gomphrena,4A y 4B y 2,1508,754,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,MB Madame Butterfly,Boca de Dragón MB,4B,1395,698,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,MB Ivory,Boca de Dragón MB,4B,1395,698,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Snapdragon Monaco Dark Pink,Boca de Dragón,4B+3B,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Campanula Champion White,Campanula,4B,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Snapdragon Opus Lavender,Boca de Dragón,4B+3B,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Ammi Majus,Ammi,6 EXT,1370,514,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Cannes Red,Boca de Dragón,3A,1527,509,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Matricaria Snowball,Matricaria,4B,822,411,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Salmon Pink,Gomphrena,4B,730,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Lisianthus Blanco,Lisianthus,3B,1042,347,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Quis Pink,Gomphrena,2,447,224,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Snapdragon Opus Fresh,Boca de Dragón,4B+3B,576,192,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Lisianthus Blanco,Lisianthus,3B,286,95,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
42,2026,Scabiosa Triple Berry,Scabiosa,2,446,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,CAMPO (ya sembrado)
42,2026,Strawflower King Size Red,Strawflower,3B,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
42,2026,Strawflower Copper Red,Strawflower,3B,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
42,2026,Achillea Cerise Queen,Orlaya,3B parte baja,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
42,2026,Achillea Cloth of God,Orlaya,3B parte baja,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
43,2026,Dusty New Look,Dusty Miller,5,864,2304,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
43,2026,Strawflower Cranberry Rose,Strawflower,6 EXT,1800,1800,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
43,2026,Cannes Lemon,Boca de Dragón,4A+3A,3304,1101,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
43,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
43,2026,Strawflower Vintage White,Strawflower,6 EXT,881,881,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
